THEREDDKING-2,,,,,,,,,,,,,,,,
2021,STAGS,2021,BOTH,0,,,,,,,,,,,,
REGION,ST,,,,,,,,,,,,,,,
4,0,10,11,12,13,14,15,18,,,,,,,,
-1_SCY,-2_SCY,-3_SCY,-4_SCY,0,1_SCY,2_SCY,3_SCY,4_SCY,-1_LCM,-2_LCM,-3_LCM,-4_LCM,1_LCM,2_LCM,3_LCM,4_LCM
31.39,27.79,26.09,25.69,50 Free,30.99,27.69,24.29,23.19,35.59,31.19,29.79,29.69,35.49,31.19,28.19,26.89
1:09.99,1:00.19,56.79,55.69,100 Free,1:09.69,1:00.89,52.89,49.99,1:20.29,1:08.19,1:04.79,1:04.29,1:19.79,1:08.79,1:00.39,58.49
2:34.59,2:10.89,2:03.69,2:01.69,200 Free,2:29.39,2:12.49,1:57.79,1:50.89,2:56.29,2:28.29,2:20.69,2:20.49,2:50.79,2:32.19,2:13.89,2:08.29
6:44.29,5:56.99,5:35.09,5:25.79,400/500 Free,6:37.39,5:57.69,5:21.79,5:02.79,6:05.39,5:19.79,5:02.49,4:59.29,5:59.49,5:21.89,4:47.39,4:39.59
,,,,800/1000 Free,,,,,,11:29.29,10:47.99,10:35.39,,11:18.59,10:22.19,10:00.09
,21:20.59,20:02.99,19:47.29,1500/1650 Free,,20:52.99,19:07.59,18:30.39,,22:04.99,20:39.79,20:20.49,,21:37.39,19:48.39,18:59.09
36.69,32.29,,,50 Back,36.99,32.09,,,42.89,37.39,,,42.99,36.99,,
1:19.29,1:09.59,1:03.49,1:02.09,100 Back,1:18.79,1:09.19,1:01.19,57.09,1:32.69,1:19.49,1:15.19,1:14.89,1:30.99,1:20.49,1:11.89,1:08.69
,2:30.19,2:18.79,2:19.69,200 Back,,2:27.39,2:13.99,2:06.89,,2:51.59,2:39.79,2:41.49,,2:50.99,2:35.19,2:28.89
41.69,36.89,,,50 Breast,40.99,36.09,,,47.49,41.99,,,46.99,41.29,,
1:31.89,1:20.19,1:14.29,1:12.99,100 Breast,1:29.99,1:17.49,1:09.69,1:04.49,1:44.89,1:32.79,1:26.59,1:25.29,1:42.69,1:30.29,1:21.29,1:16.99
,2:52.19,2:41.19,2:37.49,200 Breast,,2:46.39,2:31.39,2:24.09,,3:19.39,3:08.29,3:05.09,,3:12.59,2:56.09,2:47.49
36.19,30.59,,,50 Fly,35.39,30.89,,,40.79,34.09,,,40.19,34.49,,
1:24.09,1:09.09,1:03.29,1:01.69,100 Fly,1:22.79,1:09.29,59.79,55.49,1:35.99,1:18.89,1:12.59,1:12.69,1:34.49,1:18.59,1:07.69,1:03.99
,2:34.29,2:24.89,2:21.69,200 Fly,,2:28.39,2:15.59,2:09.69,,2:55.59,2:45.49,2:40.59,,2:51.89,2:35.09,2:27.69
1:20.79,1:10.39,,,100 IM,1:18.99,1:09.09,,,,,,,,,,
2:52.69,2:30.89,2:21.99,2:20.09,200 IM,2:50.99,2:30.69,2:13.29,2:05.19,3:17.09,2:53.99,2:42.09,2:43.59,3:15.39,2:53.19,2:33.39,2:26.29
,,5:02.99,5:04.99,400 IM,,,4:51.99,4:40.29,,,5:49.19,5:49.69,,,5:36.59,5:20.59